path	cancer	X	M	Y	a	pa	b	pb	c	pc	ind	prop	n
C	COAD	Fusobacterium	LPS_TLR4_load	T.cells.CD8	0.33970870985951973	0.026140882716335877	0.10159725987158993	0.010386921566648251	-0.0010224235783984376	0.9871738869954368	0.03451347407624017	-33.75653183810898	113
C	COAD	Fusobacterium	LPS_TLR4_load	Neutrophils	0.33970870985951973	0.026140882716335877	-0.03989568703126916	6.199306813535001e-05	-0.006185511281646402	0.7048332207618484	-0.01355291237035162	2.191073906948599	113
C	COAD	Fusobacterium	STING_agonist_potential	Neutrophils	0.6437408483806961	7.707110164114518e-11	-0.06783352906535506	5.243424806936285e-05	-0.006185511281646402	0.7048332207618484	-0.043667213549188275	7.059596460321279	113
C	COAD	Fusobacterium	butyrate_producer	Neutrophils	-0.20822510277729991	0.02425973062325078	0.045072734916042315	0.00728850721938996	-0.006185511281646402	0.7048332207618484	-0.009385274860346906	1.5172997724852295	113
C	COAD	Fusobacterium	nucleotide_biosynthesis	Neutrophils	-0.45768452595616954	1.0476870203138273e-05	-0.054539356751955675	0.0003508295843731442	-0.006185511281646402	0.7048332207618484	0.024961819640973246	-4.035530533270508	113
C	COAD	Bacteroides	LPS_TLR4_load	T.cells.CD8	0.5691535007298311	3.863793870561927e-09	0.12895722601522416	0.004322360602242745	0.005922187372483957	0.8903349646204567	0.07339645663097287	12.393470860444598	113
C	COAD	Bacteroides	LPS_TLR4_load	Neutrophils	0.5691535007298311	3.863793870561927e-09	-0.04030168176954765	0.0003687353521765155	-0.02007441633370809	0.06671783122459851	-0.022937843264437655	1.1426406069859885	113
C	COAD	Bacteroides	STING_agonist_potential	Neutrophils	0.3173146144282602	5.885349081607327e-06	-0.04645747366972938	0.0022618101467218096	-0.02007441633370809	0.06671783122459851	-0.01474163534482123	0.7343493877860705	113
C	COAD	Bacteroides	butyrate_producer	Neutrophils	-0.12326087174282147	0.04890336992096431	0.04015035881843938	0.015038098094481324	-0.02007441633370809	0.06671783122459851	-0.004948968228747918	0.2465311143536375	113
C	COAD	Bacteroides	nucleotide_biosynthesis	T.cells.CD8	0.6617792114484967	3.860997348468093e-34	0.2706319836587874	0.01228760394939674	0.005922187372483957	0.8903349646204567	0.17909862073845476	30.24197133150399	113
C	COAD	Bacteroides	nucleotide_biosynthesis	Neutrophils	0.6617792114484967	3.860997348468093e-34	-0.08100593377396725	0.0028822827504276466	-0.02007441633370809	0.06671783122459851	-0.0536080429755852	2.670465834942802	113
C	COAD	Faecalibacterium	LPS_TLR4_load	T.cells.CD8	-2.951460595417193	0.007819710682665537	0.0987237858329457	0.013666633445293687	-0.2101829451987154	0.6506047925913943	-0.2913793637163454	1.3863130685549374	113
C	COAD	Faecalibacterium	LPS_TLR4_load	Neutrophils	-2.951460595417193	0.007819710682665537	-0.04300799180160359	1.684790654824941e-05	-0.06638021912756803	0.5774673359235276	0.12693639309045868	-1.9122623389735298	113
C	COAD	Faecalibacterium	STING_agonist_potential	Neutrophils	-2.2886487077509687	0.0032315462961214725	-0.055699174550765826	0.00011458786480695925	-0.06638021912756803	0.5774673359235276	0.12747584385840585	-1.9203890185030212	113
C	COAD	Faecalibacterium	butyrate_producer	Neutrophils	3.8172513777260804	1.3168269985625948e-09	0.06878166622223547	0.000322746628175426	-0.06638021912756803	0.5774673359235276	0.26255691014912375	-3.9553486505452433	113
C	READ	Faecalibacterium	butyrate_producer	Macrophages.M2	3.03584063663027	6.513572073560759e-08	0.5367520875013756	0.03825387859499863	-0.13805664336212045	0.8512892941621346	1.6294937990328027	-11.803081397239723	40
